,City,Lat,Lng,Date and Time,Max Temperature,Humidity,Cloudiness,Windspeed
0,Kapaa,22.08,-159.32,2020-10-20 16:55:17,73,79,46,8.55
1,Cheuskiny,22.08,-159.32,2020-10-20 16:55:17,73,79,46,8.55
2,Belmonte,-15.86,-38.88,2020-10-20 16:55:26,77,83,90,6.93
3,Port Elizabeth,-33.92,25.57,2020-10-20 16:53:30,62.6,72,10,19.46
4,Norman Wells,65.28,-126.83,2020-10-20 16:55:32,17.6,92,75,9.17
5,Bluff,-46.6,168.33,2020-10-20 16:55:33,42.01,88,92,12.77
6,Hovd,48.01,91.64,2020-10-20 16:55:34,29.12,81,71,0.54
7,Hilo,19.73,-155.09,2020-10-20 16:51:50,69.8,64,1,6.93
8,Grindavik,63.84,-22.43,2020-10-20 16:52:58,39.2,69,75,6.93
9,Westport,41.14,-73.36,2020-10-20 16:53:46,66,93,90,4.7
10,Guanica,17.97,-66.91,2020-10-20 16:55:39,88,63,69,3
11,Albany,42.6,-73.97,2020-10-20 16:55:40,62.01,75,100,1.45
12,Ushuaia,-54.8,-68.3,2020-10-20 16:51:26,44.6,56,40,23.04
13,Kaitangata,-46.28,169.85,2020-10-20 16:55:43,48,86,97,1.83
14,Jamestown,42.1,-79.24,2020-10-20 16:52:11,48.99,93,90,8.05
15,Longyearbyen,78.22,15.64,2020-10-20 16:55:45,23,79,41,3.36
16,Ulladulla,-35.35,150.47,2020-10-20 16:55:46,54,100,90,3.87
17,Ilulissat,69.22,-51.1,2020-10-20 16:55:47,39.2,80,75,12.75
18,Tigre,-34.43,-58.58,2020-10-20 16:55:49,57.99,76,90,16.11
19,Kozluk,38.19,41.49,2020-10-20 16:51:33,68,40,80,2.24
20,Cockburn Town,21.46,-71.14,2020-10-20 16:55:51,82.76,70,8,8.99
21,Namibe,-15.2,12.15,2020-10-20 16:55:39,71.6,78,90,19.46
22,Severo-Kurilsk,50.68,156.12,2020-10-20 16:55:53,40.01,71,30,24.4
23,Ejido,8.55,-71.24,2020-10-20 16:55:54,82.2,41,100,5.39
24,Port Alfred,-33.59,26.89,2020-10-20 16:55:56,61.83,68,82,16.82
25,Belushya Guba,-33.59,26.89,2020-10-20 16:55:56,61.83,68,82,16.82
26,Butaritari,3.07,172.79,2020-10-20 16:55:58,81.81,73,91,7.63
27,Warqla,3.07,172.79,2020-10-20 16:55:58,81.81,73,91,7.63
28,Thinadhoo,0.53,72.93,2020-10-20 16:56:00,83.19,77,27,11.83
29,Chuy,-33.7,-53.46,2020-10-20 16:51:09,58.35,77,100,17.67
30,Mbandaka,0.05,18.26,2020-10-20 16:56:03,77.34,79,23,1.66
31,Reconquista,-29.15,-59.65,2020-10-20 16:56:04,89.17,47,2,12.73
32,Atar,20.52,-13.05,2020-10-20 16:56:05,96.8,17,4,13.56
33,Aksarka,66.56,67.8,2020-10-20 16:56:06,18.88,98,95,2.84
34,Rikitea,-23.12,-134.97,2020-10-20 16:51:25,73.35,78,3,13.04
35,Torbay,47.67,-52.73,2020-10-20 16:56:09,62.01,67,75,16.11
36,Busselton,-33.65,115.33,2020-10-20 16:56:10,57.99,58,72,8.61
37,Nizhneyansk,-33.65,115.33,2020-10-20 16:56:10,57.99,58,72,8.61
38,Port Blair,11.67,92.75,2020-10-20 16:51:33,81.5,84,28,12.44
39,Lebu,-37.62,-73.65,2020-10-20 16:53:15,54.09,63,0,20
40,Krasnoselkup,65.7,82.47,2020-10-20 16:56:15,23.25,98,98,8.99
41,Bethel,41.37,-73.41,2020-10-20 16:56:17,64.99,88,90,4.23
42,Roma,43.21,-75.46,2020-10-20 16:51:24,53.6,93,90,9.17
43,Cidreira,-30.18,-50.21,2020-10-20 16:56:19,74.21,72,0,13.18
44,Okhotsk,59.38,143.3,2020-10-20 16:56:20,24.4,81,83,13.27
45,Hobyo,5.35,48.53,2020-10-20 16:56:21,80.46,81,7,17.52
46,Guangyuan,32.44,105.82,2020-10-20 16:56:23,59,84,91,3
47,Port Shepstone,-30.74,30.45,2020-10-20 16:56:24,68.43,64,90,17.47
48,Berbera,10.44,45.01,2020-10-20 16:56:25,86.23,50,0,2.1
49,Atuona,-9.8,-139.03,2020-10-20 16:56:26,77.23,73,9,20.22
50,Virginia Beach,36.85,-75.98,2020-10-20 16:55:52,75.2,73,75,3.74
51,Hermanus,-34.42,19.23,2020-10-20 16:54:33,60.01,71,0,1.99
52,Biltine,14.53,20.92,2020-10-20 16:56:30,91.69,11,0,8.97
53,Ribeira Grande,38.52,-28.7,2020-10-20 16:56:31,64.4,63,40,11.41
54,Ketchikan,55.34,-131.65,2020-10-20 16:56:32,42.8,100,1,3.36
55,Thompson,55.74,-97.86,2020-10-20 16:56:33,26.6,73,90,2.24
56,Esperance,-33.87,121.9,2020-10-20 16:56:35,59,100,90,10.29
57,New Norfolk,-42.78,147.06,2020-10-20 16:51:51,52,75,100,1.01
58,Mataura,-46.19,168.86,2020-10-20 16:56:37,42.01,88,96,0.96
59,Russellville,35.28,-93.13,2020-10-20 16:52:24,70,82,90,5.82
60,Airai,-8.93,125.41,2020-10-20 16:56:41,61.3,76,100,1.99
61,Grand River South East,-8.93,125.41,2020-10-20 16:56:41,61.3,76,100,1.99
62,San Patricio,28.02,-97.52,2020-10-20 16:56:44,87.01,66,75,8.05
63,Baiao,-2.79,-49.67,2020-10-20 16:56:45,97.63,37,93,5.1
64,Nizhniy Kuranakh,58.84,125.49,2020-10-20 16:56:46,24.57,97,100,2.71
65,Santa Maria,-29.68,-53.81,2020-10-20 16:53:44,86.52,48,0,9.86
66,Avarua,-21.21,-159.78,2020-10-20 16:56:49,73.4,100,24,2.24
67,Kitami,43.8,143.89,2020-10-20 16:56:50,37.18,86,0,3.47
68,Sitka,57.05,-135.33,2020-10-20 16:56:51,39.2,93,20,5.82
69,Asau,46.43,26.4,2020-10-20 16:56:19,46.4,75,0,2.15
70,Lasa,46.62,10.7,2020-10-20 16:56:53,50,80,75,5.82
71,Barawe,46.62,10.7,2020-10-20 16:56:53,50,80,75,5.82
72,Punta Arenas,-53.15,-70.92,2020-10-20 16:53:51,48.2,45,75,21.92
73,Sataua,-53.15,-70.92,2020-10-20 16:53:51,48.2,45,75,21.92
74,Usilampatti,9.97,77.8,2020-10-20 16:56:58,80.6,88,75,4.14
75,Oktyabrskoye,43.06,44.74,2020-10-20 16:56:59,53.6,76,75,2.24
76,Mahebourg,-20.41,57.7,2020-10-20 16:55:42,75.2,73,40,12.75
77,Villazon,-22.09,-65.59,2020-10-20 16:57:02,62.74,28,0,13.53
78,Taoudenni,22.68,-3.98,2020-10-20 16:57:03,93.72,12,0,11.12
79,Dicabisagan,17.08,122.42,2020-10-20 16:57:04,79.39,85,100,16.49
80,Saint-Philippe,-21.36,55.77,2020-10-20 16:57:09,73.4,78,38,5.82
81,East London,-33.02,27.91,2020-10-20 16:55:41,62.6,67,36,25.28
82,Yellowknife,62.46,-114.35,2020-10-20 16:57:12,26.01,85,75,3.36
83,Vaini,-21.2,-175.2,2020-10-20 16:55:21,69.8,77,20,11.41
84,Linhares,-19.39,-40.07,2020-10-20 16:55:55,76.41,67,100,2.21
85,Pangai,-19.8,-174.35,2020-10-20 16:57:16,73.08,70,72,19.57
86,Olafsvik,64.89,-23.71,2020-10-20 16:57:17,40.21,93,100,12.73
87,Faanui,-16.48,-151.75,2020-10-20 16:57:18,78.64,82,79,15.82
88,Grants Pass,42.44,-123.33,2020-10-20 16:57:20,51.8,76,1,1.14
89,Salamiyah,35.01,37.05,2020-10-20 16:57:21,69.12,40,0,3.98
90,Ahipara,-35.17,173.17,2020-10-20 16:57:22,56.84,81,98,4.63
91,Aguimes,27.91,-15.45,2020-10-20 16:57:23,87.8,52,20,6.93
92,Sanming,26.25,117.62,2020-10-20 16:57:24,63.9,84,66,2.55
93,Saskylakh,71.92,114.08,2020-10-20 16:57:25,21.27,97,87,6.4
94,Los Llanos De Aridane,28.66,-17.92,2020-10-20 16:56:03,80.6,61,40,16.11
95,Port Hardy,50.7,-127.42,2020-10-20 16:57:28,46.4,93,75,4.7
96,Amderma,50.7,-127.42,2020-10-20 16:57:28,46.4,93,75,4.7
97,Hofn,64.25,-15.21,2020-10-20 16:57:31,37.69,72,3,1.61
98,Pandan,14.05,124.17,2020-10-20 16:57:32,80.42,81,100,13.51
99,Udimskiy,61.14,45.91,2020-10-20 16:57:33,31.33,99,100,7.4
100,Quzhou,28.96,118.87,2020-10-20 16:57:34,59.99,83,52,1.32
101,Hithadhoo,-0.6,73.08,2020-10-20 16:57:35,83.14,76,77,10.85
102,Segou,13.43,-6.22,2020-10-20 16:57:37,98.13,16,0,6.67
103,Taolanaro,13.43,-6.22,2020-10-20 16:57:37,98.13,16,0,6.67
104,Itoman,26.12,127.67,2020-10-20 16:53:33,80.6,74,75,13.87
105,Hobart,-42.88,147.33,2020-10-20 16:57:27,53.6,81,90,5.82
106,Muros,42.78,-9.06,2020-10-20 16:57:12,62.01,84,100,9.78
107,Rheinau,48.87,8.2,2020-10-20 16:57:43,57,87,100,2.24
108,Bredasdorp,-34.53,20.04,2020-10-20 16:56:58,62.6,55,0,13.87
109,Ostrovnoy,68.05,39.51,2020-10-20 16:57:46,37.87,78,100,16.06
110,Ozgon,68.05,39.51,2020-10-20 16:57:46,37.87,78,100,16.06
111,Qaanaaq,77.48,-69.36,2020-10-20 16:55:24,22.55,84,0,8.28
112,Yar-Sale,66.83,70.83,2020-10-20 16:56:15,22.53,98,100,2.13
113,Praia Da Vitoria,38.73,-27.07,2020-10-20 16:57:51,64.4,63,40,26.22
114,Meulaboh,4.14,96.13,2020-10-20 16:57:52,78.17,85,42,4
115,Portland,45.52,-122.68,2020-10-20 16:55:22,55.99,81,75,2.46
116,Jelgava,56.65,23.71,2020-10-20 16:57:54,41,80,100,3.36
117,Vostok,46.49,135.88,2020-10-20 16:57:55,32.11,92,23,5.06
118,Takoradi,4.88,-1.76,2020-10-20 16:57:57,79.34,85,79,11.52
119,Rocha,-34.48,-54.33,2020-10-20 16:55:35,49.6,95,100,12.48
120,Bolungarvik,-34.48,-54.33,2020-10-20 16:55:35,49.6,95,100,12.48
121,Arraial Do Cabo,-22.97,-42.03,2020-10-20 16:55:41,82.4,65,6,23.04
122,Nadvoitsy,63.87,34.32,2020-10-20 16:58:05,30.34,98,94,11.21
123,Shenjiamen,29.96,122.3,2020-10-20 16:58:07,67.48,82,26,7.45
124,Mar Del Plata,-38,-57.56,2020-10-20 16:57:50,59,38,98,12.75
125,Talnakh,69.49,88.4,2020-10-20 16:58:09,10.4,85,75,4.47
126,Monroe,43.15,-77.68,2020-10-20 16:58:12,48.99,93,90,5.82
127,Aykhal,66,111.5,2020-10-20 16:58:15,8.6,92,90,4.47
128,Sikasso,10.92,-7,2020-10-20 16:58:16,88.59,52,41,0.56
129,Mantua,45.17,10.78,2020-10-20 16:58:17,59,86,64,1.01
130,Lavrentiya,65.58,-171,2020-10-20 16:57:19,35.6,90,39,10.63
131,Barentsburg,65.58,-171,2020-10-20 16:57:19,35.6,90,39,10.63
132,Khatanga,71.97,102.5,2020-10-20 16:58:21,7.47,95,85,8.14
133,Tiksi,71.69,128.87,2020-10-20 16:58:22,12.11,93,100,15.88
134,Okha,53.57,142.95,2020-10-20 16:58:23,32.45,91,31,10.47
135,College,64.86,-147.8,2020-10-20 16:58:25,16,85,75,4.7
136,Souillac,-20.52,57.52,2020-10-20 16:58:20,75.2,73,40,12.75
137,Kodinar,20.79,70.7,2020-10-20 16:58:30,82.38,81,9,8.95
138,Iqaluit,63.75,-68.51,2020-10-20 16:58:31,30.2,74,90,2.24
139,Pangnirtung,66.15,-65.71,2020-10-20 16:58:32,28.4,79,90,9.17
140,Bukachacha,52.98,116.92,2020-10-20 16:58:33,24.01,90,96,7.07
141,Praia,14.92,-23.51,2020-10-20 16:56:52,91.4,52,99,12.75
142,Codrington,-38.27,141.97,2020-10-20 16:58:35,46.47,89,100,3.33
143,Mojokerto,-7.47,112.43,2020-10-20 16:58:37,79.12,76,63,1.79
144,Amuntai,-2.42,115.25,2020-10-20 16:58:39,74.17,80,64,1.9
145,Victoria,22.29,114.16,2020-10-20 16:55:23,73.99,69,23,1.99
146,Nishihara,26.18,127.76,2020-10-20 16:58:42,80.6,74,75,13.87
147,Cabo San Lucas,22.89,-109.91,2020-10-20 16:54:34,91,48,5,3.36
148,Makakilo City,21.35,-158.09,2020-10-20 16:57:09,80.6,74,90,12.75
149,Fairbanks,64.84,-147.72,2020-10-20 16:57:09,16,85,90,1.12
150,Manzanillo,20.34,-77.12,2020-10-20 16:58:52,85.46,66,66,4.52
151,Jerome,42.72,-114.52,2020-10-20 16:58:53,53.6,57,1,14.99
152,Keflavik,64,-22.56,2020-10-20 16:58:54,39.2,69,75,6.93
153,Kopargaon,19.88,74.48,2020-10-20 16:58:55,78.08,77,56,3.27
154,Narsaq,60.92,-46.05,2020-10-20 16:57:13,35.6,93,75,1.12
155,Castro,-24.79,-50.01,2020-10-20 16:58:58,81.16,48,46,0.76
156,Sandomierz,50.68,21.75,2020-10-20 16:55:59,53.01,77,58,1.99
157,Kodiak,57.79,-152.41,2020-10-20 16:56:14,42.8,60,20,5.82
158,Dikson,73.51,80.55,2020-10-20 16:55:38,21.88,95,94,9.33
159,Cape Town,-33.93,18.42,2020-10-20 16:58:00,62.6,51,2,17.22
160,Hasaki,35.73,140.83,2020-10-20 16:59:04,53.6,93,20,9.17
161,Forestville,38.85,-76.88,2020-10-20 16:59:05,72,82,20,5.73
162,Samalaeulu,38.85,-76.88,2020-10-20 16:59:05,72,82,20,5.73
163,Bengkulu,-3.8,102.27,2020-10-20 16:59:07,76.77,83,96,4.36
164,Majene,-3.54,118.97,2020-10-20 16:59:08,80.49,77,100,9.71
165,Geraldton,-28.77,114.6,2020-10-20 16:59:10,64.4,77,90,14.99
166,Illoqqortoormiut,-28.77,114.6,2020-10-20 16:59:10,64.4,77,90,14.99
167,Cambrils,41.07,1.05,2020-10-20 16:59:12,66.99,82,75,9.17
168,Clinton,42.59,-82.92,2020-10-20 16:58:27,53.01,71,75,6.93
169,Tuktoyaktuk,69.45,-133.04,2020-10-20 16:55:35,23,92,90,18.34
170,Umm Kaddadah,13.6,26.69,2020-10-20 16:59:15,92.7,10,0,15.41
171,Ancud,-41.87,-73.82,2020-10-20 16:59:17,51.8,43,0,8.05
172,Barrow,71.29,-156.79,2020-10-20 16:56:53,28.4,86,90,5.82
173,Bastrop,32.76,-91.87,2020-10-20 16:59:19,81,61,40,5.82
174,Fairview,40.81,-74,2020-10-20 16:59:20,69.01,93,90,4.7
175,Lakhdenpokhya,61.52,30.2,2020-10-20 16:59:21,32,89,52,6.85
176,Twante,16.72,95.93,2020-10-20 16:59:23,77,100,90,1.12
177,Necochea,-38.55,-58.74,2020-10-20 16:57:05,64.99,44,62,5.01
178,Porto Novo,6.5,2.6,2020-10-20 16:59:25,84.2,79,20,14.99
179,Lorengau,-2.02,147.27,2020-10-20 16:58:06,80.96,70,91,3.47
180,Clyde River,70.47,-68.59,2020-10-20 16:56:14,32,88,1,26.4
181,Nikolskoye,59.7,30.79,2020-10-20 16:59:28,37,88,75,8.95
182,Burkhala,59.7,30.79,2020-10-20 16:59:28,37,88,75,8.95
183,Salinas,36.68,-121.66,2020-10-20 16:55:29,55.4,93,40,6.93
184,Georgetown,5.41,100.34,2020-10-20 16:56:13,82.4,88,40,3.36
185,Chokurdakh,70.63,147.92,2020-10-20 16:59:33,13.77,97,91,2.01
186,Ahuimanu,21.44,-157.84,2020-10-20 16:59:34,80.6,94,40,3.36
187,Padang,-0.95,100.35,2020-10-20 16:59:36,79.57,75,69,4.32
188,Sao Filipe,14.9,-24.5,2020-10-20 16:57:08,86.67,54,85,7.65
189,Novorudnyy,51.5,58.19,2020-10-20 16:59:38,51.8,62,94,13.42
190,Ponta Do Sol,32.67,-17.1,2020-10-20 16:58:07,75.2,47,20,12.75
191,Batie,9.88,-2.92,2020-10-20 16:59:41,85.75,58,65,4.81
192,Sioux Lookout,50.1,-91.92,2020-10-20 16:59:42,32,75,75,3.36
193,Tasiilaq,65.61,-37.64,2020-10-20 16:57:34,35.6,69,75,4.7
194,Saint George,37.1,-113.58,2020-10-20 16:58:21,59,21,1,3.36
195,Mackay,-21.15,149.2,2020-10-20 16:59:46,73.4,83,40,6.93
196,Lakshettipet,18.87,79.22,2020-10-20 16:59:47,78.58,84,100,0.96
197,Kamenskoye,18.87,79.22,2020-10-20 16:59:47,78.58,84,100,0.96
198,Upernavik,72.79,-56.15,2020-10-20 16:59:52,33.31,87,100,6.78
199,Tual,-5.67,132.75,2020-10-20 16:59:44,81.64,78,100,10.29
200,Jiaocheng,24.68,116.14,2020-10-20 16:59:55,61.77,85,27,3.62
201,Soma,39.19,27.61,2020-10-20 16:59:03,64.4,77,40,16.11
202,Custoias,41.11,-7.32,2020-10-20 16:59:57,53.96,92,100,5.39
203,Vila Velha,-20.33,-40.29,2020-10-20 16:56:37,77,88,90,4.7
204,Leningradskiy,69.38,178.42,2020-10-20 16:56:00,32.25,91,86,10.38
205,Buenos Aires,-34.61,-58.38,2020-10-20 16:58:08,60.01,76,90,19.46
206,Deputatskiy,69.3,139.9,2020-10-20 17:00:02,8.73,96,100,2.21
207,Shush,32.19,48.24,2020-10-20 17:00:04,74.98,17,0,6.87
208,Huarmey,-10.07,-78.15,2020-10-20 17:00:06,69.69,64,17,9.89
209,Lompoc,34.64,-120.46,2020-10-20 16:56:32,55.4,93,90,4.7
210,Mys Shmidta,34.64,-120.46,2020-10-20 16:56:32,55.4,93,90,4.7
211,Jacqueville,5.21,-4.41,2020-10-20 17:00:10,80.6,83,40,12.75
212,Falam,22.92,93.68,2020-10-20 17:00:12,58.48,100,96,1.12
213,Bentiu,9.23,29.83,2020-10-20 17:00:13,82.33,57,71,3.02
214,Tahta,26.77,31.5,2020-10-20 17:00:14,93.2,18,0,8.05
215,Najran,17.49,44.13,2020-10-20 17:00:16,75.2,22,27,4.7
216,Arroio Grande,-32.24,-53.09,2020-10-20 17:00:17,65.07,69,100,17.38
217,Solovetskiy,-32.24,-53.09,2020-10-20 17:00:17,65.07,69,100,17.38
218,Lolua,-32.24,-53.09,2020-10-20 17:00:17,65.07,69,100,17.38
219,Marquard,-28.66,27.43,2020-10-20 17:00:20,72.54,20,8,11.83
220,Asyut,27.18,31.18,2020-10-20 17:00:22,93.2,24,0,8.05
221,Saleaula,27.18,31.18,2020-10-20 17:00:22,93.2,24,0,8.05
222,Carutapera,-1.2,-46.02,2020-10-20 17:00:24,88.39,56,100,12.57
223,Lulea,65.58,22.15,2020-10-20 17:00:26,23,100,67,2.24
224,Selma,36.57,-119.61,2020-10-20 17:00:27,70,48,20,4.7
225,Paracuru,-3.41,-39.03,2020-10-20 17:00:29,81,70,42,25.01
226,Benghazi,32.12,20.07,2020-10-20 17:00:30,71.01,71,0,17.36
227,Maues,-3.38,-57.72,2020-10-20 17:00:32,101.16,29,90,5.64
228,Pathein,16.78,94.73,2020-10-20 17:00:33,74.8,96,96,7.96
229,Passo De Camaragibe,-9.24,-35.49,2020-10-20 17:00:34,82.4,58,75,13.87
230,Half Moon Bay,37.46,-122.43,2020-10-20 16:58:53,69.01,82,5,3.36
231,Bilibino,68.05,166.44,2020-10-20 17:00:37,20.79,95,100,1.63
232,Puerto Ayora,-0.74,-90.35,2020-10-20 17:00:38,77,73,75,9.17
233,Ust-Tsilma,65.44,52.15,2020-10-20 17:00:39,26.91,98,99,4.07
234,Fare,-16.7,-151.02,2020-10-20 16:59:50,78.96,81,48,17.83
235,Srednekolymsk,67.45,153.68,2020-10-20 17:00:42,17.69,97,94,3.47
236,Gazanjyk,39.24,55.52,2020-10-20 16:57:27,64.15,72,0,10
237,Chicama,-7.84,-79.15,2020-10-20 17:00:44,64.4,82,20,11.41
238,Havre-Saint-Pierre,50.23,-63.6,2020-10-20 16:59:55,42.8,100,90,11.41
239,Vaitupu,50.23,-63.6,2020-10-20 16:59:55,42.8,100,90,11.41
240,Saldanha,-33.01,17.94,2020-10-20 16:59:46,64.4,52,0,17.22
241,Craig,40.52,-107.55,2020-10-20 16:56:48,46.4,45,1,3.36
242,Pouembout,-21.13,164.9,2020-10-20 17:00:50,67.91,81,2,2.59
243,Morondava,-20.28,44.28,2020-10-20 16:59:52,79.11,68,0,12.68
244,Paita,-5.09,-81.11,2020-10-20 17:00:53,75.2,69,0,14.99
245,Luang Prabang,19.89,102.13,2020-10-20 17:00:54,68.92,83,74,1.77
246,Timizart,36.8,4.27,2020-10-20 17:00:55,70.93,36,0,5.88
247,Fort Nelson,58.81,-122.7,2020-10-20 17:00:03,14,85,90,3.36
248,Tazmalt,36.39,4.4,2020-10-20 17:00:58,75.2,53,0,3.36
249,Cap Malheureux,-19.98,57.61,2020-10-20 17:00:59,75.99,69,1,5.01
250,Tilichiki,60.47,166.1,2020-10-20 17:00:25,37.13,100,100,7.96
251,Sibiti,-3.68,13.35,2020-10-20 17:01:03,74.34,91,95,4.32
252,Demba,-5.51,22.27,2020-10-20 17:01:04,74.95,79,32,1.72
253,Palana,59.12,159.97,2020-10-20 17:01:05,32.41,100,100,2.84
254,Hanzhong,33.07,107.03,2020-10-20 17:01:06,56.41,59,93,1.03
255,San Carlos De Bariloche,-41.15,-71.31,2020-10-20 17:00:26,57.56,37,38,2.73
256,Boralday,43.36,76.86,2020-10-20 17:01:09,48.2,39,0,4.47
257,Klaksvik,62.23,-6.59,2020-10-20 16:59:59,41,75,45,10.29
258,Galesong,-5.32,119.37,2020-10-20 17:01:11,75.2,94,20,1.12
259,Samarai,-10.62,150.67,2020-10-20 17:00:21,78.58,86,55,8.34
260,Kieta,-6.22,155.63,2020-10-20 17:00:40,78.69,80,56,3.67
261,Bakchar,57.02,82.07,2020-10-20 17:01:15,37.18,96,81,4.38
262,Villanueva De Cordoba,38.32,-4.63,2020-10-20 17:01:16,77,33,20,18.34
263,Tambopata,-12.73,-69.18,2020-10-20 17:01:17,82.4,78,75,6.93
264,Batagay,67.63,134.63,2020-10-20 17:01:18,9.14,94,100,3.8
265,Kuytun,54.34,101.5,2020-10-20 17:01:20,28.31,98,100,8.66
266,Daru,-9.08,143.21,2020-10-20 17:01:21,78.89,82,100,11.63
267,Provideniya,64.38,-173.3,2020-10-20 16:59:59,38.79,95,85,10.54
268,Attawapiskat,64.38,-173.3,2020-10-20 16:59:59,38.79,95,85,10.54
269,Tautira,-17.73,-149.15,2020-10-20 16:59:48,78.8,65,20,6.93
270,Moranbah,-22,148.05,2020-10-20 17:01:26,68.13,78,0,3.58
271,Zholymbet,51.74,71.71,2020-10-20 17:01:27,48.09,55,0,9.24
272,Korla,41.76,86.15,2020-10-20 17:01:28,52,68,0,5.01
273,Komsomolskiy,40.43,71.72,2020-10-20 17:01:29,57.2,54,0,6.93
274,Bontang,0.13,117.5,2020-10-20 17:01:30,78.58,78,100,6.2
275,Bolsheustikinskoye,0.13,117.5,2020-10-20 17:01:30,78.58,78,100,6.2
276,Mahadday Weyne,0.13,117.5,2020-10-20 17:01:30,78.58,78,100,6.2
277,Cherskiy,68.75,161.3,2020-10-20 17:00:18,18.63,95,70,4.52
278,Yumen,40.28,97.2,2020-10-20 17:01:35,47.53,43,0,9.6
279,Kyra,49.58,111.98,2020-10-20 17:01:36,22.15,83,29,10.87
280,Matehuala,23.65,-100.65,2020-10-20 17:01:39,72.25,44,26,7.58
281,Luderitz,-26.65,15.16,2020-10-20 16:57:53,74.52,30,0,33.82
282,Kloulklubed,7.04,134.26,2020-10-20 17:00:43,77,83,90,8.52
283,Beringovskiy,63.05,179.32,2020-10-20 16:57:48,41.22,88,99,13.89
284,Puerto Escondido,15.85,-97.07,2020-10-20 16:57:10,85.95,61,100,4.52
285,Faya,18.39,42.45,2020-10-20 16:59:52,68,10,0,11.41
286,Cam Ranh,11.92,109.16,2020-10-20 17:01:46,82.4,83,40,2.24
287,Santa Rosa,14.31,121.11,2020-10-20 17:01:47,78.8,88,90,9.17
